RD,TS_received,TS_sent,AK,RoundTrip,
93090,93113,2025-10-14_13-20-12-117622,93114,23,
123928,123945,2025-10-14_13-20-42-945359,123946,17,
148981,154108,2025-10-14_13-21-08-131727,154109,5127,
154110,154121,2025-10-14_13-21-13-128116,154122,11,
159218,159241,2025-10-14_13-21-18-245623,159242,23,
164326,164336,2025-10-14_13-21-23-345194,164337,10,
169434,169444,2025-10-14_13-21-28-452198,169445,10,
174545,174560,2025-10-14_13-21-33-567077,174561,15,
179658,179666,2025-10-14_13-21-38-675162,179667,8,
184761,184773,2025-10-14_13-21-43-780336,184776,12,
189909,189919,2025-10-14_13-21-48-927501,189920,10,